transaction_id,user_id,device_id,timestamp,transaction_type,amount_rwf,balance_before_rwf,balance_after_rwf,recipient_id,location,is_fraud,anomaly_reason,hour_of_day,day_of_week,is_night,amount_log
T508163,U101338,D201338,2025-05-13 23:23:18,transfer,100,11596,11496,U100848,Ruhango,0,,23,1,0,4.61512051684126
T500239,U100155,D200155,2025-08-13 23:22:33,transfer,100,10476,10376,E827323,Kayonza,0,,23,2,0,4.61512051684126
T509208,U101916,D201916,2025-08-08 12:32:15,transfer,123,9522,9399,U100242,Gasabo,0,,12,4,0,4.820281565605037
T505954,U100552,D200552,2025-09-25 04:46:40,cash_in,100,39815,39915,,Huye,0,,4,3,1,4.61512051684126
T501738,U100541,D200541,2025-05-23 13:38:23,airtime_purchase,100,9791,9691,,Kayonza,0,,13,4,0,4.61512051684126
T507958,U101371,D201371,2025-10-15 22:24:39,cash_in,100,71463,71563,,Gasabo,0,,22,2,0,4.61512051684126
T503514,U101535,D201535,2025-05-26 11:34:50,transfer,100,3802,3702,U101847,Nyarugenge,0,,11,0,0,4.61512051684126
T509674,U101995,D201995,2025-05-28 02:09:57,cash_in,390,35984,36374,,Rubavu,0,,2,2,1,5.968707559985366
T506036,U100465,D200465,2025-10-13 11:22:44,cash_in,582,11652,11752,,Huye,1,rapid_multiple_transfers,11,0,0,6.368187186350492
T503181,U100620,D200620,2025-09-24 23:29:04,cash_in,100,7376,7476,,Kayonza,0,,23,2,0,4.61512051684126
T506640,U101014,D201014,2025-07-15 13:34:32,cash_in,361,84216,84577,,Huye,0,,13,1,0,5.891644211825771
T501358,U100178,D200178,2025-07-05 08:40:23,cash_in,100,15414,15514,,Ruhango,0,,8,5,0,4.61512051684126
T509081,U100245,D200245,2025-08-08 02:25:17,transfer,124,5790,5666,U100661,Kicukiro,0,,2,4,1,4.828313737302301
T500225,U101104,D201104,2025-05-01 02:44:11,cash_out,148,49217,49069,,Rubavu,0,,2,3,1,5.003946305945459
T504875,U100358,D200358,2025-05-07 07:41:12,transfer,405,756,351,U101488,Ruhango,0,,7,2,0,6.0063531596017325
T502684,U100750,D200750,2025-09-03 13:32:06,bill_payment,100,9867,9767,,Nyagatare,0,,13,2,0,4.61512051684126
T506812,U100263,D200263,2025-06-19 03:16:02,bill_payment,100,5091,4991,,Nyagatare,0,,3,3,1,4.61512051684126
T505447,U100171,D200171,2025-09-16 01:42:01,cash_in,182,7408,7590,,Kayonza,0,,1,1,1,5.2094861528414205
T502184,U100119,D200119,2025-05-12 05:23:07,airtime_purchase,153,25232,25079,,Nyagatare,0,,5,0,0,5.036952602413629
T502513,U101326,D201326,2025-05-08 14:49:48,cash_out,100,2295,2195,,Kigali,0,,14,3,0,4.61512051684126
T507901,U100750,D200750,2025-04-30 02:43:02,cash_in,100,7016,7116,,Kicukiro,0,,2,2,1,4.61512051684126
T503113,U101956,D201956,2025-08-19 03:22:11,transfer,229,5433,5204,U100108,Ruhango,0,,3,1,1,5.438079308923196
T501790,U100585,D200585,2025-05-28 19:35:04,transfer,424,27919,27495,U101045,Kigali,0,,19,2,0,6.052089168924416
T504014,U101605,D201605,2025-05-22 04:51:56,cash_in,100,10215,10315,,Kayonza,0,,4,3,1,4.61512051684126
T509892,U100845,D200845,2025-05-19 23:40:08,cash_in,387,25101,25201,,Gasabo,1,rapid_multiple_transfers,23,0,0,5.961005339623274
T502639,U100375,D200375,2025-09-16 11:42:38,cash_out,266,9304,9038,,Gasabo,0,,11,1,0,5.58724865840025
T502793,U100812,D200812,2025-10-01 01:48:01,cash_in,100,60438,60538,,Kayonza,0,,1,2,1,4.61512051684126
T508124,U100154,D200154,2025-07-28 20:23:11,bill_payment,100,8353,8253,,Nyarugenge,0,,20,0,0,4.61512051684126
T503746,U100544,D200544,2025-05-14 01:36:44,cash_out,100,4774,4674,,Nyamasheke,0,,1,2,1,4.61512051684126
T507050,U100338,D200338,2025-10-09 13:03:31,cash_out,100,32864,32764,,Nyamasheke,0,,13,3,0,4.61512051684126
T508325,U101442,D201442,2025-04-22 09:09:19,cash_in,100,17605,17705,,Gicumbi,0,,9,1,0,4.61512051684126
T501789,U101906,D201906,2025-09-24 02:29:30,airtime_purchase,100,6553,6453,,Ruhango,0,,2,2,1,4.61512051684126
T506647,U101889,D201889,2025-07-04 15:46:29,cash_out,586,14660,14074,,Kigali,0,,15,4,0,6.375024819828096
T508422,U101596,D201596,2025-09-21 20:57:23,cash_in,330,15311,15641,,Nyarugenge,0,,20,6,0,5.802118375377063
T507694,U101865,D201865,2025-05-03 00:41:11,cash_out,100,3798,3698,,Gicumbi,0,,0,5,1,4.61512051684126
T505599,U100913,D200913,2025-04-23 07:55:08,airtime_purchase,191,67114,66923,,Kayonza,0,,7,2,0,5.2574953720277815
T502305,U100807,D200807,2025-08-20 09:42:35,transfer,100,10027,9927,U100831,Rubavu,0,,9,2,0,4.61512051684126
T509454,U100920,D200920,2025-07-20 18:25:32,transfer,100,48188,48088,U101923,Huye,0,,18,6,0,4.61512051684126
T500214,U100449,D200449,2025-06-12 23:58:14,cash_out,100,10249,10149,,Nyamasheke,0,,23,3,0,4.61512051684126
T506295,U100005,D200005,2025-08-25 13:51:18,cash_out,100,13298,13198,,Nyarugenge,0,,13,0,0,4.61512051684126
T509948,U100212,D200212,2025-07-07 18:15:48,airtime_purchase,100,19436,19336,,Kigali,0,,18,0,0,4.61512051684126
T507758,U100214,D200214,2025-09-28 17:14:11,cash_out,100,12609,12509,,Nyarugenge,0,,17,6,0,4.61512051684126
T509732,U101331,D201331,2025-05-06 23:41:26,cash_in,100,29780,29880,,Gicumbi,0,,23,1,0,4.61512051684126
T504737,U101325,D201325,2025-06-13 09:21:59,cash_out,129,2147,2018,,Gicumbi,0,,9,4,0,4.867534450455582
T506639,U100451,D200451,2025-08-22 18:58:43,transfer,184,38507,38323,U101834,Musanze,0,,18,4,0,5.220355825078324
T504702,U100706,D200706,2025-08-21 02:31:18,transfer,100,6393,6293,E843959,Kigali,0,,2,3,1,4.61512051684126
T503512,U101161,D201161,2025-09-26 03:14:29,airtime_purchase,182,94288,94106,,Nyarugenge,0,,3,4,1,5.2094861528414205
T506239,U100600,D200600,2025-04-28 13:28:04,transfer,100,27894,27794,U100614,Gasabo,0,,13,0,0,4.61512051684126
T503892,U100283,D200283,2025-09-23 18:14:51,cash_in,100,3842,3942,,Gicumbi,0,,18,1,0,4.61512051684126
T507334,U100479,D200479,2025-08-03 20:16:56,transfer,100,19963,19863,U101065,Nyamasheke,0,,20,6,0,4.61512051684126
T508391,U100138,D200138,2025-08-26 05:29:39,cash_in,2835,26327,29162,,Kicukiro,0,,5,1,0,7.950149887652017
T509458,U100979,D200979,2025-04-26 11:46:51,cash_out,133,27509,27376,,Huye,0,,11,5,0,4.897839799950911
T507878,U100531,D200531,2025-09-03 02:29:25,cash_in,189,4339,4528,,Rubavu,0,,2,2,1,5.247024072160486
T501956,U101411,D201411,2025-07-03 08:31:51,transfer,100,2069,1969,U100513,Rubavu,0,,8,3,0,4.61512051684126
T506490,U101062,D201062,2025-05-25 15:39:31,transfer,876,36393,35517,U101991,Musanze,0,,15,6,0,6.776506992372183
T507640,U101022,D201022,2025-07-08 18:32:56,cash_in,100,5343,5443,,Kigali,0,,18,1,0,4.61512051684126
T508667,U101595,D201595,2025-08-18 12:45:41,bill_payment,203,12479,12276,,Huye,0,,12,0,0,5.318119993844216
T502298,U100182,D200182,2025-08-12 03:42:16,transfer,100,2935,2835,U101045,Kigali,0,,3,1,1,4.61512051684126
T504855,U100529,D200529,2025-09-12 02:16:24,transfer,125,11638,11513,U101652,Gicumbi,0,,2,4,1,4.836281906951478
T501464,U100735,D200735,2025-09-13 15:47:31,airtime_purchase,186,12171,11985,,Nyarugenge,0,,15,5,0,5.231108616854587
T508364,U101976,D201976,2025-09-02 09:12:43,transfer,3620,24931,21311,U100354,Kigali,0,,9,1,0,8.19450550976564
T500866,U100501,D200501,2025-09-11 19:10:17,transfer,100,93943,93843,U100479,Kigali,0,,19,3,0,4.61512051684126
T506505,U101390,D201390,2025-05-29 10:42:03,bill_payment,100,23365,23265,,Huye,0,,10,3,0,4.61512051684126
T509045,U101445,D201445,2025-06-08 03:39:51,transfer,100,3929,3829,U100870,Huye,0,,3,6,1,4.61512051684126
T508818,U101602,D201602,2025-07-16 03:19:54,transfer,100,9924,9824,E991088,Nyamasheke,0,,3,2,1,4.61512051684126
T505084,U100180,D200180,2025-07-15 02:26:42,cash_out,100,339,239,,Nyarugenge,0,,2,1,1,4.61512051684126
T507211,U101746,D201746,2025-05-22 20:48:27,transfer,147,13172,13025,E739919,Gicumbi,0,,20,3,0,4.997212273764115
T508010,U101442,D201442,2025-10-04 03:06:07,cash_out,2100,19284,18957,,Kicukiro,1,rapid_multiple_transfers,3,5,1,7.650168700845001
T501433,U101939,D201939,2025-08-30 23:41:21,transfer,894,17373,16479,U100455,Rubavu,0,,23,5,0,6.796823718274855
T504646,U101702,D201702,2025-08-16 14:43:38,transfer,249,2527,2278,U100870,Musanze,0,,14,5,0,5.521460917862246
T508897,U101761,D201761,2025-06-24 10:36:09,airtime_purchase,100,16667,16567,,Rubavu,0,,10,1,0,4.61512051684126
T507250,U101804,D201804,2025-06-19 08:07:23,cash_in,100,4678,4778,,Kigali,0,,8,3,0,4.61512051684126
T505100,U100578,D200578,2025-08-10 14:50:03,cash_out,100,8397,8297,,Rubavu,0,,14,6,0,4.61512051684126
T509353,U101164,D201164,2025-07-20 18:39:55,cash_out,141,38745,38604,,Kayonza,0,,18,6,0,4.955827057601261
T506407,U101103,D201103,2025-08-06 05:47:55,transfer,100,14835,14735,U101100,Gasabo,0,,5,2,0,4.61512051684126
T501750,U101104,D201104,2025-09-28 16:31:51,transfer,105,21990,21885,E926228,Kigali,0,,16,6,0,4.663439094112067
T508699,U101570,D201570,2025-06-10 02:29:45,bill_payment,100,48217,48117,,Kicukiro,0,,2,1,1,4.61512051684126
T501580,U100236,D200236,2025-09-15 17:28:06,transfer,100,1663,1563,U101193,Rubavu,0,,17,0,0,4.61512051684126
T507010,U100011,D200011,2025-06-24 19:26:49,cash_in,100,12482,12582,,Nyarugenge,0,,19,1,0,4.61512051684126
T500831,U101560,D201560,2025-06-08 01:16:20,transfer,100,20722,20622,U101788,Gicumbi,0,,1,6,1,4.61512051684126
T503734,U100512,D200512,2025-06-03 21:40:48,transfer,100,1572,1472,U100612,Huye,0,,21,1,0,4.61512051684126
T502854,U101076,D201076,2025-07-14 11:59:12,transfer,100,6672,6572,E959076,Huye,0,,11,0,0,4.61512051684126
T501937,U100611,D200611,2025-05-29 14:07:09,transfer,100,15931,15831,E814183,Rubavu,0,,14,3,0,4.61512051684126
T508702,U100590,D200590,2025-08-04 05:06:27,cash_in,415,17193,17608,,Musanze,0,,5,0,0,6.030685260261263
T500599,U101718,D201718,2025-09-06 18:45:47,cash_in,131,39216,39347,,Gicumbi,0,,18,5,0,4.882801922586371
T502216,U100768,D200768,2025-08-20 15:45:07,transfer,100,12327,12227,E999358,Ruhango,0,,15,2,0,4.61512051684126
T500535,U100900,D200900,2025-05-04 06:14:13,transfer,100,20424,20324,U100620,Huye,0,,6,6,0,4.61512051684126
T506215,U101669,D201669,2025-09-01 21:26:30,cash_in,100,27040,27140,,Ruhango,0,,21,0,0,4.61512051684126
T504775,U101931,D201931,2025-06-07 21:51:18,airtime_purchase,568,26051,25483,,Musanze,0,,21,5,0,6.343880434126331
T500028,U101402,D201402,2025-06-22 23:16:01,bill_payment,100,38739,38639,,Kigali,0,,23,6,0,4.61512051684126
T508315,U100124,D200124,2025-10-08 17:55:35,transfer,100,24121,24021,U101463,Kicukiro,0,,17,2,0,4.61512051684126
T504682,U100079,D200079,2025-10-09 22:44:32,cash_in,100,4241,4341,,Nyamasheke,0,,22,3,0,4.61512051684126
T501462,U101818,D201818,2025-09-01 08:37:38,airtime_purchase,370,25379,25009,,Kicukiro,0,,8,0,0,5.916202062607435
T509611,U100959,D200959,2025-07-15 15:05:24,cash_out,529,29453,29353,,Ruhango,1,rapid_multiple_transfers,15,1,0,6.272877006546167
T505813,U100622,D200622,2025-07-13 05:03:57,cash_out,165,83491,83326,,Nyagatare,0,,5,6,0,5.111987788356543
T509284,U101890,D201890,2025-09-21 02:29:59,cash_in,158,18808,18966,,Kayonza,0,,2,6,1,5.068904202220232
T505538,U100806,D200806,2025-10-16 00:25:47,transfer,803,25879,25076,U101914,Kicukiro,0,,0,3,1,6.689599269178967
T509427,U101215,D201215,2025-08-25 17:59:33,bill_payment,100,26227,26127,,Kicukiro,0,,17,0,0,4.61512051684126
T506208,U100569,D200569,2025-05-02 17:03:58,cash_in,757,0,100,,Gasabo,1,rapid_multiple_transfers,17,4,0,6.630683385642372
T501058,U101100,D201100,2025-09-02 15:37:53,transfer,239,27070,26831,E790824,Gicumbi,0,,15,1,0,5.480638923341991
T503075,U100756,D200756,2025-08-30 10:13:16,transfer,279,6943,6664,U101144,Ruhango,0,,10,5,0,5.634789603169249
T501344,U101721,D201721,2025-07-05 04:02:42,cash_out,157,8833,8676,,Ruhango,0,,4,5,1,5.062595033026967
T507952,U100510,D200510,2025-08-20 18:58:07,cash_in,100,31102,31202,,Nyarugenge,0,,18,2,0,4.61512051684126
T500487,U101439,D201439,2025-09-16 01:05:09,cash_out,100,47792,47692,,Musanze,0,,1,1,1,4.61512051684126
T504492,U100091,D200091,2025-06-16 11:33:52,cash_out,502,29792,29290,,Kicukiro,0,,11,0,0,6.220590170099739
T508152,U100029,D200029,2025-05-20 00:08:55,airtime_purchase,145,2632,2487,,Huye,0,,0,1,1,4.983606621708336
T508656,U101287,D201287,2025-05-14 09:28:44,cash_in,144,28926,29070,,Gasabo,0,,9,2,0,4.976733742420574
T509174,U100825,D200825,2025-09-24 15:56:50,transfer,113,53757,53644,U101279,Huye,0,,15,2,0,4.736198448394496
T509834,U100075,D200075,2025-05-11 00:27:57,transfer,100,29674,29574,U100654,Rubavu,0,,0,6,1,4.61512051684126
T500128,U100189,D200189,2025-08-22 03:58:47,transfer,100,3263,3163,E723114,Nyamasheke,0,,3,4,1,4.61512051684126
T507707,U101575,D201575,2025-10-16 08:23:40,cash_in,164,24891,25055,,Nyarugenge,0,,8,3,0,5.10594547390058
T503667,U101238,D201238,2025-05-22 20:29:46,airtime_purchase,100,656,556,,Nyamasheke,0,,20,3,0,4.61512051684126
T501930,U100407,D200407,2025-07-19 11:38:42,airtime_purchase,100,4226,4126,,Kayonza,0,,11,5,0,4.61512051684126
T503130,U100120,D200120,2025-08-18 07:39:46,bill_payment,100,42999,42899,,Rubavu,0,,7,0,0,4.61512051684126
T507911,U100959,D200959,2025-07-15 15:05:07,transfer,1588,22326,22064,U100251,Gasabo,1,rapid_multiple_transfers,15,1,0,7.3708601665367155
T506704,U100149,D200149,2025-07-31 12:35:56,cash_out,317,22201,21884,,Gicumbi,0,,12,3,0,5.762051382780177
T508799,U100827,D200827,2025-08-11 01:35:42,transfer,100,14287,14187,U100767,Ruhango,0,,1,0,1,4.61512051684126
T504199,U101323,D201323,2025-06-08 08:09:51,cash_out,1043,33490,32447,,Gasabo,0,,8,6,0,6.950814768442584
T502569,U100373,D200373,2025-05-25 01:14:01,transfer,531,15250,14719,U101364,Kayonza,0,,1,6,1,6.2766434893416445
T507633,U101817,D201817,2025-05-17 00:22:56,transfer,100,6211,6111,E847709,Kayonza,0,,0,5,1,4.61512051684126
T503185,U100568,D200568,2025-08-09 12:12:31,cash_in,100,3823,3923,,Ruhango,0,,12,5,0,4.61512051684126
T502913,U101940,D201940,2025-09-10 01:14:52,transfer,100,17042,16942,E998402,Kayonza,0,,1,2,1,4.61512051684126
T505776,U101383,D201383,2025-08-04 07:09:17,cash_in,178,11392,11570,,Nyamasheke,0,,7,0,0,5.187385805840755
T500623,U101580,D201580,2025-08-11 23:51:57,airtime_purchase,100,16224,16124,,Kayonza,0,,23,0,0,4.61512051684126
T504430,U101031,D201031,2025-05-11 06:26:15,cash_in,100,6410,6510,,Kigali,0,,6,6,0,4.61512051684126
T505542,U100032,D200032,2025-08-19 18:05:16,cash_out,100,11957,11857,,Nyagatare,0,,18,1,0,4.61512051684126
T501145,U101043,D201043,2025-05-27 15:09:23,cash_in,114,11032,11146,,Kayonza,0,,15,1,0,4.74493212836325
T501501,U100673,D200673,2025-06-29 10:11:54,transfer,100,18075,17975,E840671,Huye,0,,10,6,0,4.61512051684126
T502389,U100603,D200603,2025-07-20 16:10:14,transfer,155,36102,35947,E937735,Gicumbi,0,,16,6,0,5.049856007249537
T508331,U100380,D200380,2025-06-29 08:03:32,transfer,497,3214,2717,U100236,Rubavu,0,,8,6,0,6.210600077024653
T509596,U101053,D201053,2025-09-24 12:08:35,bill_payment,286,17817,17531,,Musanze,0,,12,2,0,5.6594822157596205
T504940,U100684,D200684,2025-09-16 03:32:03,cash_out,100,8671,8571,,Huye,0,,3,1,1,4.61512051684126
T502394,U100783,D200783,2025-07-05 10:57:45,cash_in,113,3890,4003,,Rubavu,0,,10,5,0,4.736198448394496
T503154,U100719,D200719,2025-10-01 01:01:24,airtime_purchase,200000,205000,5000,,Gicumbi,1,large_amount_odd_hour,1,2,1,12.206077645517674
T508547,U100288,D200288,2025-04-27 12:57:48,cash_in,100,13366,13466,,Ruhango,0,,12,6,0,4.61512051684126
T506078,U101821,D201821,2025-10-13 00:28:59,airtime_purchase,642,24208,23566,,Kayonza,0,,0,0,1,6.466144724237619
T509159,U100001,D200001,2025-05-16 14:30:29,bill_payment,100,20067,19967,,Musanze,0,,14,4,0,4.61512051684126
T504104,U101952,D201952,2025-05-08 20:36:37,bill_payment,100,13386,13286,,Rubavu,0,,20,3,0,4.61512051684126
T508423,U100800,D200800,2025-10-11 10:54:18,cash_in,111,47383,47494,,Nyamasheke,0,,10,5,0,4.718498871295094
T500545,U101861,D201861,2025-09-25 06:00:56,cash_out,100,16520,16420,,Nyagatare,0,,6,3,0,4.61512051684126
T509660,U101788,D201788,2025-05-13 23:53:06,cash_out,100,8155,8055,,Kigali,0,,23,1,0,4.61512051684126
T501273,U100720,D200720,2025-08-09 05:26:49,cash_in,100,8000,8100,,Nyagatare,0,,5,5,0,4.61512051684126
T502808,U101398,D201398,2025-06-07 20:03:31,cash_in,332,37316,37648,,Musanze,0,,20,5,0,5.808142489980444
T503196,U100885,D200885,2025-10-01 22:55:00,cash_in,117,45948,46065,,Nyamasheke,0,,22,2,0,4.770684624465664
T503023,U101543,D201543,2025-08-01 20:20:57,cash_out,100,10936,10836,,Nyamasheke,0,,20,4,0,4.61512051684126
T509446,U100662,D200662,2025-07-14 17:51:10,transfer,289,1232,943,U101274,Nyagatare,0,,17,0,0,5.66988092298052
T501786,U101679,D201679,2025-05-25 00:49:21,cash_out,100,10535,10435,,Gicumbi,0,,0,6,1,4.61512051684126
T503924,U100930,D200930,2025-08-06 14:33:13,airtime_purchase,100,10656,10556,,Kayonza,0,,14,2,0,4.61512051684126
T505056,U100970,D200970,2025-08-25 21:29:13,cash_out,100,21799,21699,,Nyagatare,0,,21,0,0,4.61512051684126
T506426,U101612,D201612,2025-08-21 11:57:20,cash_out,170,29287,29117,,Kayonza,0,,11,3,0,5.141663556502659
T506860,U100960,D200960,2025-05-25 02:07:03,transfer,166,11571,11405,U100440,Gasabo,0,,2,6,1,5.1179938124167546
T503242,U100702,D200702,2025-06-16 12:27:22,cash_in,100,9641,9741,,Rubavu,0,,12,0,0,4.61512051684126
T509913,U100295,D200295,2025-09-13 09:01:58,transfer,100,11505,11405,E786217,Nyagatare,0,,9,5,0,4.61512051684126
T507982,U100388,D200388,2025-09-21 00:27:09,airtime_purchase,100,40025,39925,,Gicumbi,0,,0,6,1,4.61512051684126
T503200,U100459,D200459,2025-04-30 02:52:18,cash_out,567,6001,5901,,Musanze,1,rapid_multiple_transfers,2,2,1,6.342121418721151
T509206,U100464,D200464,2025-10-03 14:50:06,cash_in,100,10732,10832,,Kigali,0,,14,4,0,4.61512051684126
T505005,U101492,D201492,2025-09-21 06:17:04,transfer,100,2629,2529,U100730,Gasabo,0,,6,6,0,4.61512051684126
T509934,U101497,D201497,2025-08-12 14:46:08,cash_out,100,29362,29262,,Kigali,0,,14,1,0,4.61512051684126
T509837,U100869,D200869,2025-10-11 08:55:10,cash_out,119,78050,77931,,Nyarugenge,0,,8,5,0,4.787491742782046
T503318,U101551,D201551,2025-08-26 05:57:32,cash_in,100,20080,20180,,Kigali,0,,5,1,0,4.61512051684126
T503585,U100632,D200632,2025-07-27 13:15:04,cash_in,100,21314,21414,,Kayonza,0,,13,6,0,4.61512051684126
T508451,U100370,D200370,2025-06-01 16:27:09,cash_out,101,12338,12237,,Nyagatare,0,,16,6,0,4.624972813284271
T500040,U101763,D201763,2025-05-12 07:00:07,cash_out,100,180,80,,Kicukiro,0,,7,0,0,4.61512051684126
T506570,U101421,D201421,2025-04-24 12:08:18,cash_out,100,17564,17464,,Nyagatare,0,,12,3,0,4.61512051684126
T507405,U101431,D201431,2025-06-16 21:38:41,cash_in,266,46304,46570,,Nyarugenge,0,,21,0,0,5.58724865840025
T502534,U101510,D201510,2025-09-14 01:51:56,airtime_purchase,121,5277,5156,,Nyagatare,0,,1,6,1,4.804021044733257
T506679,U100696,D200696,2025-09-10 15:14:29,cash_in,394,20028,20422,,Huye,0,,15,2,0,5.978885764901122
T508587,U101534,D201534,2025-08-30 22:10:55,cash_in,150,14052,14202,,Kicukiro,0,,22,5,0,5.017279836814924
T504655,U101490,D201490,2025-07-06 10:31:10,airtime_purchase,348,10316,9968,,Rubavu,0,,10,6,0,5.855071922202427
T505055,U100321,D200321,2025-06-23 05:47:04,cash_in,100,17477,17577,,Ruhango,0,,5,0,0,4.61512051684126
T503681,U100195,D200195,2025-08-01 17:07:58,transfer,100,25021,24921,U101772,Rubavu,0,,17,4,0,4.61512051684126
T503605,U101425,D201425,2025-07-23 16:20:28,cash_out,100,6629,6529,,Musanze,0,,16,2,0,4.61512051684126
T503586,U100252,D200252,2025-06-13 02:22:52,cash_out,212,118512,118300,,Kayonza,0,,2,4,1,5.361292165709425
T505523,U100242,D200242,2025-08-02 08:43:18,airtime_purchase,104,28752,28648,,Nyagatare,0,,8,5,0,4.653960350157523
T508179,U101573,D201573,2025-05-25 14:45:13,cash_out,100,4303,4203,,Kicukiro,0,,14,6,0,4.61512051684126
T505728,U100444,D200444,2025-07-29 05:53:44,cash_out,100,6148,6048,,Kigali,0,,5,1,0,4.61512051684126
T505963,U101459,D201459,2025-07-16 05:48:36,airtime_purchase,100,15144,15044,,Huye,0,,5,2,0,4.61512051684126
T500112,U100643,D200643,2025-06-06 08:21:25,transfer,100,6353,6253,U101375,Musanze,0,,8,4,0,4.61512051684126
T508834,U100420,D200420,2025-08-13 04:48:03,cash_in,451,81730,82181,,Huye,0,,4,2,1,6.113682179832231
T509126,U101540,D201540,2025-04-26 20:41:56,cash_out,633,16349,15716,,Gicumbi,0,,20,5,0,6.452048954437226
T507047,U101193,D201193,2025-08-09 09:13:38,cash_in,640,15374,16014,,Gasabo,0,,9,5,0,6.46302945692067
T508848,U101871,D201871,2025-04-27 17:13:24,cash_in,200,5014,5214,,Nyagatare,0,,17,6,0,5.303304908059076
T507584,U101689,D201689,2025-05-02 03:41:42,transfer,198,10958,10760,U101218,Rubavu,0,,3,4,1,5.293304824724492
T508628,U100329,D200329,2025-09-26 07:00:09,cash_in,100,22280,22380,,Rubavu,0,,7,4,0,4.61512051684126
T507424,U100123,D200123,2025-07-08 18:22:48,transfer,100,10621,10521,E928286,Musanze,0,,18,1,0,4.61512051684126
T504882,U100668,D200668,2025-07-02 09:21:07,cash_in,100,4253,4353,,Kigali,0,,9,2,0,4.61512051684126
T509192,U101138,D201138,2025-07-29 22:59:31,cash_out,317,15360,15043,,Huye,0,,22,1,0,5.762051382780177
T501529,U101780,D201780,2025-05-23 02:50:16,airtime_purchase,100,5113,5013,,Gasabo,0,,2,4,1,4.61512051684126
T507768,U100790,D200790,2025-05-03 06:48:05,cash_in,160,18977,19137,,Rubavu,0,,6,5,0,5.081404364984463
T509925,U101471,D201471,2025-06-16 17:25:55,transfer,100,7808,7708,U101270,Nyagatare,0,,17,0,0,4.61512051684126
T508638,U100414,D200414,2025-05-22 16:21:37,cash_out,100,31777,31677,,Kigali,0,,16,3,0,4.61512051684126
T505407,U101979,D201979,2025-06-18 19:49:49,cash_out,145,22982,22837,,Nyamasheke,0,,19,2,0,4.983606621708336
T509814,U100158,D200158,2025-08-05 13:33:32,cash_in,100,6449,6549,,Huye,0,,13,1,0,4.61512051684126
T506086,U100672,D200672,2025-07-28 19:20:35,cash_out,695,21515,20820,,Musanze,0,,19,0,0,6.545349660334419
T507445,U100204,D200204,2025-05-07 04:22:03,cash_in,218,5563,5781,,Gasabo,0,,4,2,1,5.389071729816501
T509805,U100204,D200204,2025-09-08 09:49:41,transfer,100,6821,6721,U101976,Kayonza,0,,9,0,0,4.61512051684126
T508889,U101436,D201436,2025-04-25 22:23:42,transfer,100,15406,15306,U100918,Nyagatare,0,,22,4,0,4.61512051684126
T509625,U101787,D201787,2025-09-23 05:43:19,cash_out,100,12166,12066,,Kayonza,0,,5,1,0,4.61512051684126
